State,Date,Monthly COVID Rate
Iowa,2021-12-01,96.6
Iowa,2022-01-01,162.6
Iowa,2022-02-01,49.1
Iowa,2022-03-01,22.2
Iowa,2022-04-01,17.6
Iowa,2022-05-01,19.9
Iowa,2022-06-01,
Iowa,2022-07-01,
Iowa,2022-08-01,
Iowa,2022-09-01,
Maryland,2020-03-01,15.1
Maryland,2020-04-01,73.6
Maryland,2020-05-01,66.3
Maryland,2020-06-01,25.9
Maryland,2020-07-01,29.0
Maryland,2020-08-01,24.2
Maryland,2020-09-01,20.8
Maryland,2020-10-01,24.9
Maryland,2020-11-01,69.4
Maryland,2020-12-01,90.8
Maryland,2021-01-01,86.3
Maryland,2021-02-01,42.7
Maryland,2021-03-01,45.4
Maryland,2021-04-01,58.4
Maryland,2021-05-01,24.5
Maryland,2021-06-01,6.2
Maryland,2021-07-01,9.4
Maryland,2021-08-01,37.2
Maryland,2021-09-01,44.0
Maryland,2021-10-01,30.7
Maryland,2021-11-01,30.3
Maryland,2021-12-01,96.2
Maryland,2022-01-01,140.7
Maryland,2022-02-01,24.3
Maryland,2022-03-01,8.5
Maryland,2022-04-01,10.5
Maryland,2022-05-01,29.7
Maryland,2022-06-01,28.2
Maryland,2022-07-01,36.5
Maryland,2022-08-01,37.6
Maryland,2022-09-01,27.7
Maryland,2022-10-01,24.3
Maryland,2022-11-01,25.5
Maryland,2022-12-01,41.2
Maryland,2023-01-01,38.3
Maryland,2023-02-01,21.7
Maryland,2023-03-01,12.2
Maryland,2023-04-01,5.2
Maryland,2023-05-01,4.7
Maryland,2023-06-01,4.1
Maryland,2023-07-01,6.2
Maryland,2023-08-01,10.3
Maryland,2023-09-01,17.0
Maryland,2023-10-01,14.4
Maryland,2023-11-01,16.3
Maryland,2023-12-01,18.7
Michigan,2020-03-01,29.1
Michigan,2020-04-01,50.6
Michigan,2020-05-01,11.3
Michigan,2020-06-01,2.6
Michigan,2020-07-01,8.6
Michigan,2020-08-01,5.7
Michigan,2020-09-01,9.4
Michigan,2020-10-01,25.8
Michigan,2020-11-01,80.7
Michigan,2020-12-01,85.3
Michigan,2021-01-01,45.6
Michigan,2021-02-01,18.7
Michigan,2021-03-01,52.9
Michigan,2021-04-01,106.9
Michigan,2021-05-01,34.7
Michigan,2021-06-01,6.8
Michigan,2021-07-01,8.9
Michigan,2021-08-01,30.2
Michigan,2021-09-01,37.9
Michigan,2021-10-01,52.6
Michigan,2021-11-01,90.0
Michigan,2021-12-01,101.8
Michigan,2022-01-01,120.9
Michigan,2022-02-01,42.9
Michigan,2022-03-01,14.6
Michigan,2022-04-01,16.0
Michigan,2022-05-01,33.0
Michigan,2022-06-01,28.5
Michigan,2022-07-01,33.1
Michigan,2022-08-01,48.6
Michigan,2022-09-01,46.2
Michigan,2022-10-01,37.2
Michigan,2022-11-01,31.7
Michigan,2022-12-01,41.3
Michigan,2023-01-01,26.2
Michigan,2023-02-01,20.4
Michigan,2023-03-01,28.4
Michigan,2023-04-01,21.4
Michigan,2023-05-01,12.4
Michigan,2023-06-01,5.7
Michigan,2023-07-01,5.0
Michigan,2023-08-01,11.5
Michigan,2023-09-01,20.1
Michigan,2023-10-01,19.2
Michigan,2023-11-01,22.2
Michigan,2023-12-01,39.5
Minnesota,2020-03-01,4.1
Minnesota,2020-04-01,25.9
Minnesota,2020-05-01,48.4
Minnesota,2020-06-01,21.4
Minnesota,2020-07-01,25.7
Minnesota,2020-08-01,29.5
Minnesota,2020-09-01,26.1
